Date,Open,Close,High,Low,Pcr,Volume
2016-06-20,2071.00,2074.25,2092.50,2070.25,1.79,1039531
2016-06-21,2079.00,2080.50,2086.00,2074.00,2.09,1153519
2016-06-22,2079.25,2076.75,2091.25,2075.25,1.54,1387379
2016-06-23,2083.00,2105.75,2113.25,2083.00,1.81,1266947
2016-06-24,2115.75,2018.50,2119.50,1999.00,2.02,2174568
2016-06-27,2013.75,1985.00,2022.50,1981.50,1.56,2161760
2016-06-28,1982.50,2028.50,2029.75,1982.25,1.54,1698276
2016-06-29,2028.25,2066.75,2074.75,2022.75,1.60,1945088
2016-06-30,2072.25,2090.25,2091.25,2056.50,1.54,2065182
2016-07-01,2086.50,2096.25,2100.75,2081.50,1.79,1511581
2016-07-03,2099.25,2094.25,2099.75,2094.25,0.00,0
2016-07-04,2094.50,2096.88,2104.75,2094.25,0.00,0
2016-07-05,2099.75,2082.75,2104.75,2072.50,2.20,1084085
2016-07-06,2084.00,2094.00,2094.50,2065.75,1.64,1170472
2016-07-07,2092.00,2092.00,2102.00,2081.75,1.44,1174938
2016-07-08,2092.00,2120.50,2125.50,2087.50,1.03,1918565
2016-07-11,2120.25,2130.25,2136.75,2120.00,0.98,1650658
2016-07-12,2130.75,2145.75,2149.25,2128.50,1.08,1678213
2016-07-13,2145.75,2146.00,2152.25,2139.50,1.23,1177524
2016-07-14,2145.25,2157.25,2168.00,2142.75,0.92,1629123
2016-07-15,2156.50,2152.75,2164.75,2143.25,1.57,1212833
2016-07-18,2154.50,2160.00,2163.25,2152.75,1.47,1047090
2016-07-19,2160.00,2158.75,2160.75,2151.25,1.58,803344
2016-07-20,2159.00,2167.50,2169.75,2155.25,1.18,1593660
2016-07-21,2168.25,2158.00,2170.25,2153.50,1.66,910609
2016-07-22,2159.00,2167.50,2169.25,2156.00,1.67,1032385
2016-07-25,2167.75,2162.25,2172.50,2155.75,1.37,881593
2016-07-26,2162.75,2163.25,2168.00,2153.75,1.42,690329
2016-07-27,2166.00,2160.50,2169.25,2152.00,1.38,912989
2016-07-28,2162.75,2164.75,2168.50,2153.50,1.42,1213038
2016-07-29,2165.50,2168.25,2171.75,2157.50,1.64,1357176
2016-08-01,2174.00,2164.50,2177.75,2159.75,1.84,882896
2016-08-02,2166.00,2152.75,2171.00,2141.50,1.59,964311
2016-08-03,2152.25,2157.00,2158.25,2145.25,2.05,713357
2016-08-04,2156.75,2159.25,2164.25,2154.00,1.69,756422
2016-08-05,2159.50,2176.75,2178.50,2159.25,1.47,1520326
2016-08-08,2176.00,2175.50,2183.00,2173.25,1.43,1004857
2016-08-09,2176.00,2177.50,2183.50,2173.75,1.59,831517
2016-08-10,2178.00,2172.75,2181.50,2167.75,1.50,947632
2016-08-11,2172.50,2181.75,2185.25,2170.00,1.57,867019
2016-08-12,2181.75,2180.25,2184.00,2175.50,1.38,1002245
2016-08-15,2180.75,2186.00,2190.75,2180.50,1.34,1029859
2016-08-16,2186.00,2176.75,2186.25,2175.25,1.56,1057971
2016-08-17,2177.50,2179.75,2182.00,2165.50,1.57,1166931
2016-08-18,2180.75,2183.50,2184.50,2176.25,1.50,942090
2016-08-19,2183.50,2181.75,2184.25,2172.50,1.83,1099573
2016-08-22,2181.75,2181.50,2184.50,2173.50,1.51,844539
2016-08-23,2180.75,2185.25,2191.50,2179.25,1.45,1008688
2016-08-24,2185.75,2175.00,2187.75,2168.75,1.53,1232312
2016-08-25,2175.00,2173.50,2177.25,2167.50,1.88,990396
2016-08-26,2174.00,2168.50,2186.75,2157.50,1.53,1430528
2016-08-29,2167.75,2179.25,2182.25,2164.50,1.45,1000601
2016-08-30,2180.00,2175.25,2181.50,2168.50,1.63,998707
2016-08-31,2175.75,2169.50,2176.25,2159.50,2.21,1082923
2016-09-01,2169.00,2167.25,2177.25,2154.75,2.08,1021183
2016-09-02,2166.25,2178.00,2183.75,2164.25,2.16,1233235
2016-09-04,2178.75,2180.75,2181.75,2178.25,0.00,0
2016-09-05,2180.75,2178.00,2182.25,2175.00,0.00,0
2016-09-06,2179.25,2184.50,2186.25,2173.00,1.45,1185496
2016-09-07,2185.25,2184.50,2186.75,2177.50,2.07,1074603
2016-09-08,2184.50,2177.50,2189.25,2175.75,1.88,1047083
2016-09-09,2177.25,2122.75,2178.25,2119.75,2.04,2142378
2016-09-12,2121.75,2158.50,2162.75,2107.00,1.44,2018393
2016-09-13,2156.25,2128.75,2157.50,2119.00,1.65,1336686
2016-09-14,2131.75,2120.25,2141.25,2118.75,1.51,1395525
2016-09-15,2121.75,2145.00,2151.50,2114.75,1.56,1266043
2016-09-16,2143.75,2139.96,2144.25,2135.50,1.63,1453903
2016-09-19,2132.25,2133.00,2146.75,2127.75,1.65,970901
2016-09-20,2133.75,2131.00,2143.50,2129.00,1.53,859161
2016-09-21,2130.00,2156.25,2157.50,2126.25,1.94,1555270
2016-09-22,2156.25,2168.25,2172.75,2152.75,1.73,1643068
2016-09-23,2168.25,2158.00,2169.50,2156.00,2.11,1296269
2016-09-26,2156.25,2139.75,2159.50,2136.75,1.78,1112638
2016-09-27,2139.25,2152.75,2154.00,2132.75,1.66,962619
2016-09-28,2152.00,2163.25,2165.25,2144.00,1.45,1046448
2016-09-29,2162.25,2148.50,2167.00,2137.25,1.80,1370810
2016-09-30,2145.75,2160.50,2168.25,2135.75,1.69,1234744
2016-10-03,2158.75,2153.25,2164.00,2146.75,1.97,914763
2016-10-04,2153.75,2144.75,2159.75,2136.00,1.62,1038200
2016-10-05,2144.25,2153.25,2158.00,2141.00,1.74,735041
2016-10-06,2153.25,2156.50,2157.25,2143.25,1.90,786963
2016-10-07,2155.25,2146.50,2161.50,2138.00,1.85,1200338
2016-10-10,2152.00,2159.00,2163.50,2148.50,1.67,975330
2016-10-11,2159.50,2134.50,2160.75,2121.75,1.64,1427384
2016-10-12,2133.00,2131.50,2140.75,2126.25,1.95,1106368
2016-10-13,2127.75,2126.25,2132.25,2107.75,1.55,1259776
2016-10-14,2126.25,2127.00,2143.25,2122.25,1.69,1205022
2016-10-17,2126.25,2123.00,2130.00,2116.75,1.65,911814
2016-10-18,2122.50,2132.00,2139.75,2120.25,1.48,1148033
2016-10-19,2131.50,2138.00,2142.50,2126.50,1.57,1210457
2016-10-20,2137.50,2137.00,2144.50,2126.75,1.46,1113880
2016-10-21,2136.00,2134.75,2138.50,2123.25,1.96,1318807
2016-10-24,2137.00,2144.25,2149.00,2134.75,2.22,849628
2016-10-25,2144.75,2138.00,2149.75,2135.25,2.03,789308
2016-10-26,2135.25,2134.00,2140.00,2124.75,1.43,953358
2016-10-27,2133.75,2123.50,2143.75,2122.50,1.48,1049818
2016-10-28,2127.25,2123.75,2135.25,2112.50,1.83,1371771
2016-10-31,2120.00,2120.00,2130.50,2114.75,1.81,951593
2016-11-01,2123.50,2103.75,2129.50,2091.00,1.95,1365502
2016-11-02,2102.25,2092.25,2106.50,2087.25,1.63,1380215
2016-11-03,2088.25,2083.50,2098.75,2079.75,1.87,1521875
2016-11-04,2084.00,2080.00,2094.25,2078.75,1.99,1810856
2016-11-07,2106.00,2129.00,2130.75,2102.75,1.78,1596037
2016-11-08,2129.00,2135.50,2143.25,2119.00,2.14,1610845
2016-11-09,2138.00,2160.25,2166.75,2028.50,1.55,2332845
2016-11-10,2159.50,2167.25,2180.50,2147.75,1.33,1878742
2016-11-11,2165.00,2161.50,2170.50,2148.50,1.86,1446742
2016-11-14,2164.50,2160.50,2174.50,2152.25,1.24,1507079
2016-11-15,2161.00,2179.25,2179.75,2158.50,1.35,1241031
2016-11-16,2179.00,2172.75,2185.00,2168.75,1.18,1501493
2016-11-17,2172.50,2184.25,2185.50,2171.75,1.14,1356477
2016-11-18,2184.00,2180.75,2187.50,2176.50,1.43,1322659
2016-11-21,2179.50,2193.00,2196.50,2178.50,1.26,1257484
2016-11-22,2193.25,2200.25,2203.00,2191.75,1.49,1268466
2016-11-23,2201.25,2200.75,2203.50,2192.00,1.42,1064965
2016-11-24,2199.25,2205.50,2207.00,2197.75,0.00,0
2016-11-25,2201.00,2211.25,2211.75,2197.50,1.10,1077037
2016-11-28,2208.00,2200.75,2209.50,2198.25,1.63,917287
2016-11-29,2200.25,2203.75,2209.50,2196.25,1.66,873703
2016-11-30,2203.25,2198.75,2213.75,2197.25,1.26,1264746
2016-12-01,2199.50,2192.00,2203.00,2186.00,1.46,944999
2016-12-02,2190.50,2192.00,2197.25,2184.25,1.26,1103182
2016-12-05,2184.00,2204.25,2208.75,2179.00,1.21,995162
2016-12-06,2205.00,2210.00,2212.00,2200.25,1.16,974101
2016-12-07,2211.25,2236.75,2241.25,2206.75,0.91,1734843
2016-12-08,2236.50,2247.75,2251.50,2232.50,0.89,1857539
2016-12-09,2246.75,2260.00,2261.25,2245.00,1.08,1610810
2016-12-12,2260.75,2256.00,2270.25,2252.25,1.22,1260371
2016-12-13,2256.00,2273.25,2278.25,2253.25,0.81,1588141
2016-12-14,2273.25,2257.00,2277.00,2248.00,1.29,1461426
2016-12-15,2256.00,2263.50,2272.75,2252.25,1.17,1311527
2016-12-16,2264.25,2268.63,2269.50,2261.75,1.40,1433301
2016-12-19,2256.00,2260.00,2263.75,2254.00,1.47,877079
2016-12-20,2260.25,2266.50,2269.50,2260.00,1.29,881441
2016-12-21,2267.25,2260.50,2268.00,2258.00,1.76,934937
2016-12-22,2258.25,2258.75,2261.00,2251.50,1.29,1036074
2016-12-23,2257.50,2260.00,2261.00,2254.25,1.54,567006
2016-12-26,2259.25,2259.00,2260.25,2258.50,0.00,0
2016-12-27,2258.75,2261.00,2269.50,2257.75,1.23,571286
2016-12-28,2261.25,2245.25,2267.50,2243.50,1.49,911281
2016-12-29,2245.50,2245.00,2250.00,2239.50,1.62,783843
2016-12-30,2246.25,2236.25,2252.75,2228.00,1.34,1166472
2017-01-02,2241.38,2243.25,2244.88,2241.38,0.00,0
2017-01-03,2240.75,2252.50,2259.50,2239.50,1.58,1290036
2017-01-04,2252.75,2264.25,2267.25,2251.00,1.18,1054406
2017-01-05,2264.50,2264.25,2266.00,2254.00,1.66,900747
2017-01-06,2264.25,2271.50,2277.00,2258.25,1.52,1276095
2017-01-08,2270.50,2272.75,2273.25,2270.50,0.00,0
2017-01-09,2271.25,2265.00,2275.25,2263.50,1.84,860867
2017-01-10,2264.50,2263.75,2274.00,2259.50,1.80,848545
2017-01-11,2263.75,2270.50,2271.75,2255.00,1.59,1045697
2017-01-12,2270.50,2263.50,2270.50,2248.50,1.52,1090856
2017-01-13,2264.50,2272.50,2273.50,2262.75,1.54,1136596
2017-01-16,2268.50,2266.25,2269.50,2265.00,0.00,0
2017-01-17,2270.25,2262.75,2270.50,2257.25,1.64,1166895
2017-01-18,2262.00,2266.50,2268.50,2258.25,1.76,1422315
2017-01-19,2265.50,2261.50,2269.50,2253.00,1.60,1087536
2017-01-20,2261.00,2266.00,2272.75,2259.75,2.12,1133653
2017-01-22,2266.25,2259.75,2266.50,2259.50,0.00,0
2017-01-23,2266.00,2262.00,2267.50,2251.75,1.57,1154196
2017-01-24,2260.75,2274.50,2280.50,2259.50,1.09,872720
2017-01-25,2275.75,2294.00,2295.25,2274.75,0.97,1587128
2017-01-26,2293.75,2294.00,2299.50,2289.50,1.76,827880
2017-01-27,2294.00,2289.00,2296.75,2287.00,1.59,1067859
2017-01-30,2282.00,2276.00,2285.75,2263.25,1.88,1215580
2017-01-31,2275.75,2274.50,2278.25,2262.25,1.78,971865
2017-02-01,2277.00,2274.50,2285.00,2268.25,1.62,936081
2017-02-02,2275.00,2275.50,2279.75,2264.50,2.21,868687
2017-02-03,2274.00,2291.00,2294.00,2270.50,1.91,1315966
2017-02-06,2293.00,2286.50,2294.25,2283.50,1.61,1177406
2017-02-07,2286.50,2285.75,2295.00,2284.00,1.66,789195
2017-02-08,2285.75,2290.25,2292.00,2281.00,1.21,942198
2017-02-09,2290.50,2304.25,2307.75,2287.75,1.34,1238839
2017-02-10,2304.25,2312.75,2315.75,2303.00,1.21,1432879
2017-02-13,2314.25,2326.25,2329.00,2313.25,1.17,1555950
2017-02-14,2326.75,2335.25,2337.75,2319.75,1.16,1414097
2017-02-15,2335.50,2350.50,2351.50,2331.25,1.39,1883910
2017-02-16,2350.25,2345.50,2350.75,2336.75,1.65,1347467
2017-02-17,2345.00,2348.00,2348.75,2336.50,1.76,1171091
2017-02-20,2347.25,2353.25,2356.75,2346.00,0.00,0
2017-02-21,2346.50,2360.00,2365.00,2346.00,1.15,1610181
2017-02-22,2360.00,2361.00,2363.75,2355.25,1.47,1211159
2017-02-23,2360.75,2360.00,2367.25,2353.00,1.26,1059824
2017-02-24,2361.50,2365.00,2365.75,2349.50,1.70,1331745
2017-02-26,2363.25,2367.00,2368.50,2363.25,0.00,0
2017-02-27,2367.50,2365.50,2370.75,2361.00,1.60,1123558
2017-02-28,2365.88,2364.75,2368.75,2357.50,1.54,1136584
